R1,,R2,,R3,,R4,,R5,,R6,,R7,,R8,,R9,,R10,,DAC,Vamp-avg(V),Vamp-avg(ADC)
DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,DAC,Vamp,,,
0,4,0,4,0,6,0,5,0,5,0,5,0,4,0,4,0,4,0,5,0,0.011862271,4.6
1,5,1,3,1,4,1,5,1,3,1,5,1,5,1,3,1,4,1,1,1,0.009799267,3.8
2,5,2,5,2,5,2,4,2,5,2,6,2,5,2,5,2,3,2,4,2,0.012120147,4.7
3,3,3,3,3,5,3,4,3,4,3,5,3,4,3,5,3,5,3,5,3,0.011088645,4.3
4,6,4,4,4,4,4,9,4,5,4,4,4,5,4,6,4,4,4,5,4,0.013409524,5.2
5,4,5,5,5,6,5,6,5,5,5,4,5,4,5,5,5,5,5,4,5,0.012378022,4.8
6,4,6,3,6,5,6,5,6,6,6,5,6,6,6,5,6,5,6,5,6,0.012635897,4.9
7,6,7,6,7,6,7,4,7,7,7,6,7,6,7,5,7,7,7,4,7,0.014698901,5.7
8,6,8,8,8,7,8,7,8,6,8,7,8,6,8,7,8,7,8,6,8,0.017277656,6.7
9,9,9,7,9,8,9,12,9,10,9,8,9,10,9,9,9,9,9,1,9,0.021403663,8.3
10,9,10,8,10,9,10,9,10,8,10,9,10,8,10,9,10,7,10,9,10,0.021919414,8.5
11,10,11,12,11,11,11,11,11,9,11,10,11,9,11,9,11,11,11,10,11,0.026303297,10.2
12,10,12,12,12,11,12,11,12,11,12,12,12,10,12,11,12,10,12,10,12,0.027850549,10.8
13,17,13,11,13,13,13,11,13,10,13,13,13,11,13,12,13,12,13,12,13,0.031460806,12.2
14,13,14,13,14,12,14,12,14,13,14,13,14,13,14,13,14,12,14,19,14,0.034297436,13.3
15,13,15,14,15,15,15,13,15,13,15,14,15,14,15,14,15,13,15,13,15,0.035071062,13.6
16,14,16,16,16,16,16,14,16,14,16,15,16,14,16,17,16,13,16,13,16,0.037649817,14.6
17,17,17,16,17,15,17,16,17,16,17,16,17,16,17,17,17,14,17,15,17,0.040744322,15.8
18,17,18,18,18,17,18,17,18,17,18,16,18,17,18,17,18,17,18,17,18,0.043838828,17
19,18,19,17,19,18,19,17,19,17,19,17,19,18,19,17,19,17,19,22,19,0.045901832,17.8
20,19,20,19,20,20,20,19,20,19,20,18,20,19,20,19,20,18,20,18,20,0.048480586,18.8
21,33,21,35,21,20,21,21,21,19,21,21,21,19,21,19,21,20,21,18,21,0.058021978,22.5
22,21,22,22,22,20,22,15,22,21,22,21,22,21,22,20,22,21,22,20,22,0.052090842,20.2
23,22,23,23,23,22,23,22,23,21,23,29,23,22,23,22,23,21,23,22,23,0.058279853,22.6
24,21,24,22,24,23,24,22,24,23,24,24,24,22,24,23,24,24,24,23,24,0.058537729,22.7
25,23,25,24,25,25,25,22,25,23,25,24,25,24,25,24,25,23,25,23,25,0.060600733,23.5
26,24,26,45,26,25,26,25,26,25,26,28,26,24,26,25,26,24,26,25,26,0.069626374,27
27,25,27,25,27,25,27,28,27,27,27,25,27,26,27,27,27,29,27,25,27,0.06756337,26.2
28,27,28,26,28,28,28,28,28,30,28,27,28,29,28,21,28,28,28,27,28,0.069884249,27.1
29,29,29,27,29,26,29,28,29,27,29,27,29,28,29,27,29,28,29,27,29,0.070657875,27.4
30,31,30,29,30,30,30,28,30,29,30,29,30,28,30,29,30,29,30,29,30,0.075041758,29.1
31,29,31,29,31,30,31,30,31,31,31,24,31,29,31,30,31,30,31,29,31,0.075041758,29.1
32,29,32,31,32,30,32,31,32,31,32,31,32,31,32,32,32,31,32,30,32,0.079167766,30.7
33,33,33,30,33,32,33,31,33,31,33,32,33,33,33,31,33,32,33,31,33,0.081488645,31.6
34,33,34,33,34,30,34,32,34,33,34,35,34,32,34,32,34,34,34,32,34,0.084067399,32.6
35,34,35,33,35,33,35,31,35,34,35,33,35,34,35,33,35,33,35,32,35,0.085098901,33
36,35,36,35,36,37,36,35,36,44,36,36,36,36,36,36,36,36,36,33,36,0.093608791,36.3
37,35,37,36,37,36,37,36,37,35,37,34,37,37,37,36,37,35,37,36,37,0.091803663,35.6
38,36,38,37,38,36,38,36,38,37,38,36,38,37,38,37,38,37,38,37,38,0.094382418,36.6
39,42,39,38,39,38,39,37,39,39,39,37,39,37,39,37,39,37,39,38,39,0.097992674,38
40,38,40,39,40,40,40,38,40,39,40,39,40,38,40,39,40,28,40,38,40,0.096961172,37.6
41,37,41,40,41,40,41,40,41,41,41,40,41,40,41,41,41,41,41,41,41,0.103408059,40.1
42,40,42,40,42,40,42,41,42,42,42,41,42,39,42,41,42,41,42,41,42,0.104697436,40.6
43,42,43,42,43,42,43,42,43,41,43,41,43,42,43,42,43,41,43,43,43,0.107791941,41.8
44,33,44,40,44,44,44,43,44,46,44,46,44,44,44,43,44,43,44,43,44,0.10959707,42.5
45,44,45,44,45,44,45,43,45,45,45,44,45,44,45,44,45,44,45,43,45,0.113207326,43.9
46,44,46,48,46,45,46,45,46,44,46,45,46,45,46,44,46,44,46,45,46,0.115786081,44.9
47,46,47,46,47,43,47,45,47,46,47,45,47,45,47,45,47,46,47,46,47,0.116817582,45.3
48,47,48,47,48,47,48,47,48,47,48,47,48,46,48,47,48,47,48,46,48,0.120685714,46.8
49,48,49,49,49,47,49,47,49,48,49,36,49,49,49,48,49,48,49,48,49,0.120685714,46.8
50,47,50,51,50,49,50,51,50,49,50,49,50,48,50,49,50,48,50,49,50,0.126358974,49
51,54,51,49,51,50,51,50,51,49,51,50,51,49,51,51,51,50,51,50,51,0.12945348,50.2
52,51,52,51,52,51,52,51,52,50,52,52,52,50,52,51,52,50,52,50,52,0.130742857,50.7
53,51,53,51,53,51,53,52,53,51,53,52,53,51,53,52,53,52,53,49,53,0.132032234,51.2
54,68,54,60,54,53,54,52,54,53,54,53,54,54,54,53,54,51,54,52,54,0.141573626,54.9
55,54,55,54,55,56,55,57,55,55,55,54,55,53,55,64,55,53,55,54,55,0.142863004,55.4
56,54,56,54,56,55,56,55,56,55,56,55,56,54,56,54,56,54,56,56,56,0.1408,54.6
57,56,57,55,57,55,57,56,57,57,57,55,57,55,57,56,57,56,57,54,57,0.143120879,55.5
58,58,58,57,58,56,58,56,58,56,58,56,58,56,58,56,58,57,58,56,58,0.145441758,56.4
59,59,59,57,59,58,59,58,59,65,59,55,59,58,59,60,59,57,59,58,59,0.150857143,58.5
60,58,60,59,60,53,60,60,60,58,60,57,60,58,60,59,60,59,60,58,60,0.14930989,57.9
61,60,61,60,61,61,61,60,61,59,61,60,61,60,61,61,61,59,61,59,61,0.154467399,59.9
62,62,62,60,62,60,62,61,62,61,62,61,62,60,62,62,62,60,62,60,62,0.156530403,60.7
